country_name,slug,median_age,date_of_information,ranking,region
"Monaco","monaco","55.4","","1","Europe"
"Japan","japan","48.6","","2","East and Southeast Asia"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","48.5","","3","North America"
"Germany","germany","47.8","","4","Europe"
"Italy","italy","46.5","","5","Europe"
"Andorra","andorra","46.2","","6","Europe"
"Hong Kong","hong-kong","45.6","","7","East and Southeast Asia"
"Saint Barthelemy","saint-barthelemy","45.6","","8","Central America and the Caribbean"
"Greece","greece","45.3","","9","Europe"
"San Marino","san-marino","45.2","","10","Europe"
"Slovenia","slovenia","44.9","","11","Europe"
"Isle of Man","isle-of-man","44.6","","12","Europe"
"Portugal","portugal","44.6","","13","Europe"
"Austria","austria","44.5","","14","Europe"
"Lithuania","lithuania","44.5","","15","Europe"
"Latvia","latvia","44.4","","16","Europe"
"Guernsey","guernsey","44.3","","17","Europe"
"Croatia","croatia","43.9","","18","Europe"
"Spain","spain","43.9","","19","Europe"
"Bulgaria","bulgaria","43.7","","20","Europe"
"Estonia","estonia","43.7","","21","Europe"
"Liechtenstein","liechtenstein","43.7","","22","Europe"
"Bermuda","bermuda","43.6","","23","North America"
"Hungary","hungary","43.6","","24","Europe"
"Puerto Rico","puerto-rico","43.6","","25","Central America and the Caribbean"
"Serbia","serbia","43.4","","26","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","43.3","","27","Europe"
"Czechia","czechia","43.3","","28","Europe"
"Korea, South","korea-south","43.2","","29","East and Southeast Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","43.2","","30","Africa"
"Finland","finland","42.8","","31","Europe"
"Netherlands","netherlands","42.8","","32","Europe"
"Switzerland","switzerland","42.7","","33","Europe"
"Romania","romania","42.5","","34","Europe"
"Malta","malta","42.3","","35","Europe"
"Taiwan","taiwan","42.3","","36","East and Southeast Asia"
"Cuba","cuba","42.1","","37","Central America and the Caribbean"
"Denmark","denmark","42.0","","38","Europe"
"Poland","poland","41.9","","39","Europe"
"Canada","canada","41.8","","40","North America"
"Slovakia","slovakia","41.8","","41","Europe"
"Virgin Islands","virgin-islands","41.8","","42","Central America and the Caribbean"
"France","france","41.7","","43","Europe"
"Belgium","belgium","41.6","","44","Europe"
"Ukraine","ukraine","41.2","","45","Europe"
"Sint Maarten","sint-maarten","41.1","","46","Central America and the Caribbean"
"Sweden","sweden","41.1","","47","Europe"
"Belarus","belarus","40.9","","48","Europe"
"Macau","macau","40.8","","49","East and Southeast Asia"
"United Kingdom","united-kingdom","40.6","","50","Europe"
"Cayman Islands","cayman-islands","40.5","","51","Central America and the Caribbean"
"Russia","russia","40.3","","52","Central Asia"
"Aruba","aruba","39.9","","53","Central America and the Caribbean"
"Montenegro","montenegro","39.6","","54","Europe"
"Barbados","barbados","39.5","","55","Central America and the Caribbean"
"Luxembourg","luxembourg","39.5","","56","Europe"
"Norway","norway","39.5","","57","Europe"
"North Macedonia","north-macedonia","39.0","","58","Europe"
"Thailand","thailand","39.0","","59","East and Southeast Asia"
"Georgia","georgia","38.6","","60","Middle East"
"United States","united-states","38.5","","61","North America"
"China","china","38.4","","62","East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","38.4","","63","Middle East"
"Cook Islands","cook-islands","38.3","","64","Australia and Oceania"
"Cyprus","cyprus","37.9","","65","Europe"
"Ireland","ireland","37.8","","66","Europe"
"Trinidad and Tobago","trinidad-and-tobago","37.8","","67","Central America and the Caribbean"
"Moldova","moldova","37.7","","68","Europe"
"Australia","australia","37.5","","69","Australia and Oceania"
"Jersey","jersey","37.5","","70","Europe"
"British Virgin Islands","british-virgin-islands","37.2","","71","Central America and the Caribbean"
"Faroe Islands","faroe-islands","37.2","","72","Europe"
"New Zealand","new-zealand","37.2","","73","Australia and Oceania"
"Iceland","iceland","37.1","","74","Europe"
"Saint Lucia","saint-lucia","36.9","","75","Central America and the Caribbean"
"Seychelles","seychelles","36.8","","76","Africa"
"Curacao","curacao","36.7","","77","Central America and the Caribbean"
"Armenia","armenia","36.6","","78","Middle East"
"Saint Kitts and Nevis","saint-kitts-and-nevis","36.5","","79","Central America and the Caribbean"
"Mauritius","mauritius","36.3","","80","Africa"
"Anguilla","anguilla","35.7","","81","Central America and the Caribbean"
"Singapore","singapore","35.6","","82","East and Southeast Asia"
"Chile","chile","35.5","","83","South America"
"Gibraltar","gibraltar","35.5","","84","Europe"
"Uruguay","uruguay","35.5","","85","South America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","35.3","","86","Central America and the Caribbean"
"Dominica","dominica","34.9","","87","Central America and the Caribbean"
"Montserrat","montserrat","34.8","","88","Central America and the Caribbean"
"Korea, North","korea-north","34.6","","89","East and Southeast Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","34.6","","90","Central America and the Caribbean"
"Albania","albania","34.3","","91","Europe"
"Greenland","greenland","34.3","","92","North America"
"Wallis and Futuna","wallis-and-futuna","34.0","","93","Australia and Oceania"
"Palau","palau","33.9","","94","Australia and Oceania"
"Lebanon","lebanon","33.7","","95","Middle East"
"Qatar","qatar","33.7","","96","Middle East"
"Sri Lanka","sri-lanka","33.7","","97","South Asia"
"French Polynesia","french-polynesia","33.3","","98","Australia and Oceania"
"Grenada","grenada","33.3","","99","Central America and the Caribbean"
"Saint Martin","saint-martin","33.3","","100","Central America and the Caribbean"
"Brazil","brazil","33.2","","101","South America"
"Bahrain","bahrain","32.9","","102","Middle East"
"New Caledonia","new-caledonia","32.9","","103","Australia and Oceania"
"Bahamas, The","bahamas-the","32.8","","104","Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","32.8","","105","Australia and Oceania"
"Antigua and Barbuda","antigua-and-barbuda","32.7","","106","Central America and the Caribbean"
"Tunisia","tunisia","32.7","","107","Africa"
"Azerbaijan","azerbaijan","32.6","","108","Middle East"
"Costa Rica","costa-rica","32.6","","109","Central America and the Caribbean"
"Argentina","argentina","32.4","","110","South America"
"Turkey (Turkiye)","turkey-turkiye","32.2","","111","Middle East"
"Vietnam","vietnam","31.9","","112","East and Southeast Asia"
"Iran","iran","31.7","","113","Middle East"
"Kazakhstan","kazakhstan","31.6","","114","Central Asia"
"Colombia","colombia","31.2","","115","South America"
"Brunei","brunei","31.1","","116","East and Southeast Asia"
"Indonesia","indonesia","31.1","","117","East and Southeast Asia"
"Suriname","suriname","31.0","","118","South America"
"Saudi Arabia","saudi-arabia","30.8","","119","Middle East"
"Kosovo","kosovo","30.5","","120","Europe"
"Israel","israel","30.4","","121","Middle East"
"Panama","panama","30.1","","122","Central America and the Caribbean"
"Uzbekistan","uzbekistan","30.1","","123","Central Asia"
"Venezuela","venezuela","30.0","","124","South America"
"Fiji","fiji","29.9","","125","Australia and Oceania"
"Mongolia","mongolia","29.8","","126","East and Southeast Asia"
"Kuwait","kuwait","29.7","","127","Middle East"
"Paraguay","paraguay","29.7","","128","South America"
"Maldives","maldives","29.5","","129","South Asia"
"Guam","guam","29.4","","130","Australia and Oceania"
"Jamaica","jamaica","29.4","","131","Central America and the Caribbean"
"Mexico","mexico","29.3","","132","North America"
"Burma","burma","29.2","","133","East and Southeast Asia"
"Malaysia","malaysia","29.2","","134","East and Southeast Asia"
"Turkmenistan","turkmenistan","29.2","","135","Central Asia"
"Bhutan","bhutan","29.1","","136","South Asia"
"Morocco","morocco","29.1","","137","Africa"
"Peru","peru","29.1","","138","South America"
"Algeria","algeria","28.9","","139","Africa"
"Ecuador","ecuador","28.8","","140","South America"
"India","india","28.7","","141","South Asia"
"South Africa","south-africa","28.0","","142","Africa"
"Bangladesh","bangladesh","27.9","","143","South Asia"
"Dominican Republic","dominican-republic","27.9","","144","Central America and the Caribbean"
"El Salvador","el-salvador","27.7","","145","Central America and the Caribbean"
"Guyana","guyana","27.5","","146","South America"
"Kyrgyzstan","kyrgyzstan","27.3","","147","Central Asia"
"Nicaragua","nicaragua","27.3","","148","Central America and the Caribbean"
"American Samoa","american-samoa","27.2","","149","Australia and Oceania"
"Nauru","nauru","27.0","","150","Australia and Oceania"
"Cabo Verde","cabo-verde","26.8","","151","Africa"
"Tuvalu","tuvalu","26.6","","152","Australia and Oceania"
"Cambodia","cambodia","26.4","","153","East and Southeast Asia"
"Micronesia, Federated States of","micronesia-federated-states-of","26.3","","154","Australia and Oceania"
"Oman","oman","26.2","","155","Middle East"
"Libya","libya","25.8","","156","Africa"
"Botswana","botswana","25.7","","157","Africa"
"Kiribati","kiribati","25.7","","158","Australia and Oceania"
"Samoa","samoa","25.6","","159","Australia and Oceania"
"Bolivia","bolivia","25.3","","160","South America"
"Nepal","nepal","25.3","","161","South Asia"
"Tajikistan","tajikistan","25.3","","162","Central Asia"
"Djibouti","djibouti","24.9","","163","Africa"
"Lesotho","lesotho","24.7","","164","Africa"
"Honduras","honduras","24.4","","165","Central America and the Caribbean"
"Egypt","egypt","24.1","","166","Africa"
"Haiti","haiti","24.1","","167","Central America and the Caribbean"
"Philippines","philippines","24.1","","168","East and Southeast Asia"
"Tonga","tonga","24.1","","169","Australia and Oceania"
"Laos","laos","24.0","","170","East and Southeast Asia"
"Papua New Guinea","papua-new-guinea","24.0","","171","East and Southeast Asia"
"Belize","belize","23.9","","172","Central America and the Caribbean"
"Marshall Islands","marshall-islands","23.8","","173","Australia and Oceania"
"Eswatini","eswatini","23.7","","174","Africa"
"Jordan","jordan","23.5","","175","Middle East"
"Solomon Islands","solomon-islands","23.5","","176","Australia and Oceania"
"Syria","syria","23.5","","177","Middle East"
"Guatemala","guatemala","23.2","","178","Central America and the Caribbean"
"Vanuatu","vanuatu","23.0","","179","Australia and Oceania"
"Pakistan","pakistan","22.0","","180","South Asia"
"West Bank","west-bank","21.9","","181","Middle East"
"Gambia, The","gambia-the","21.8","","182","Africa"
"Namibia","namibia","21.8","","183","Africa"
"Ghana","ghana","21.4","","184","Africa"
"Iraq","iraq","21.2","","185","Middle East"
"Gabon","gabon","21.0","","186","Africa"
"Mauritania","mauritania","21.0","","187","Africa"
"Comoros","comoros","20.9","","188","Africa"
"Zimbabwe","zimbabwe","20.5","","189","Africa"
"Cote d'Ivoire","cote-divoire","20.3","","190","Africa"
"Equatorial Guinea","equatorial-guinea","20.3","","191","Africa"
"Eritrea","eritrea","20.3","","192","Africa"
"Madagascar","madagascar","20.3","","193","Africa"
"Central African Republic","central-african-republic","20.0","","194","Africa"
"Kenya","kenya","20.0","","195","Africa"
"Togo","togo","20.0","","196","Africa"
"Ethiopia","ethiopia","19.8","","197","Africa"
"Yemen","yemen","19.8","2018 est.","198","Middle East"
"Rwanda","rwanda","19.7","","199","Africa"
"Timor-Leste","timor-leste","19.6","","200","East and Southeast Asia"
"Afghanistan","afghanistan","19.5","","201","South Asia"
"Congo, Republic of the","congo-republic-of-the","19.5","","202","Africa"
"Senegal","senegal","19.4","","203","Africa"
"Sao Tome and Principe","sao-tome-and-principe","19.3","","204","Africa"
"Guinea","guinea","19.1","","205","Africa"
"Sierra Leone","sierra-leone","19.1","","206","Africa"
"Nigeria","nigeria","18.6","","207","Africa"
"South Sudan","south-sudan","18.6","","208","Africa"
"Cameroon","cameroon","18.5","","209","Africa"
"Somalia","somalia","18.5","","210","Africa"
"Sudan","sudan","18.3","","211","Africa"
"Tanzania","tanzania","18.2","","212","Africa"
"Gaza Strip","gaza-strip","18.0","","213","Middle East"
"Guinea-Bissau","guinea-bissau","18.0","","214","Africa"
"Liberia","liberia","18.0","","215","Africa"
"Burkina Faso","burkina-faso","17.9","","216","Africa"
"Burundi","burundi","17.7","","217","Africa"
"Benin","benin","17.0","","218","Africa"
"Mozambique","mozambique","17.0","","219","Africa"
"Zambia","zambia","16.9","","220","Africa"
"Malawi","malawi","16.8","","221","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","16.7","","222","Africa"
"Chad","chad","16.1","","223","Africa"
"Mali","mali","16.0","","224","Africa"
"Angola","angola","15.9","","225","Africa"
"Uganda","uganda","15.7","","226","Africa"
"Niger","niger","14.8","","227","Africa"